,PM25-Metal-Zn,PM25-Metal-Pb,PM25-Metal-Ba,PM25-Metal-Cu,PM25-Metal-Sr,PM25-Metal-Cr,PM25-Metal-As,PM25-Metal-Cd,PM25-Metal-Ni
0,0.0768467110209,0.0267118926114,0.00542586829133,0.00624579964201,0.00209131957855,0.00184745918626,0.00183534526079,0.000890655511672,0.00132770724576
1,0.0841299196796,0.0316452267654,0.0134619561684,0.0104238243441,0.00683752801245,0.00281665055635,0.00254298236679,0.000672108703473,0.000580357258963
2,0.286183730461,0.11792063584,0.0149200858647,0.0564844101891,0.00814819177012,0.00355578327674,0.0100615061489,0.00448193893879,0.00287725532083
3,0.0284429476868,0.00984827140388,0.00380594780311,0.00346525707923,0.00150987719357,0.00197375913986,0.000564915115661,0.000242846483648,0.000825402070593
4,0.0324464287465,0.0171269556548,0.0153365428601,0.00698900471492,0.0034594349569,8.45067192855e-05,0.00117774117354,0.000253573995223,0.000416289126597
5,0.00875756276003,0.00532256961111,0.0094699764572,0.00157531697656,0.00281673078999,,0.00166553277722,0.000105668831331,0.00023763293168
6,0.0311378946582,0.0160433015361,0.00614355428016,0.00309079996844,0.00155979617686,2.89057587927e-05,0.00116456130267,0.000356731603799,0.00113496098373
7,0.160970148755,0.0380890222239,0.0242770608112,0.00899264612609,0.00641462960885,0.00131622721813,0.00393902813418,0.0121907674659,0.00277189624143
8,0.0152724383057,0.00470767167747,0.00278380487744,0.000950597727292,0.00153895993293,0.000714550355681,0.00141803575075,8.90801673404e-05,0.00106742431914
9,0.102884684562,0.0904774998339,0.00776950624564,0.0214299457244,0.00300603298063,0.00299691368227,0.00255292854889,0.00103064030265,0.0020352206322
10,0.108099012147,0.101123451338,0.00833113416194,0.0461129714528,0.00348814463867,0.00243364479653,0.0070291413486,0.00161746510527,0.000768353923996
11,0.0371269442506,0.0464209514612,0.00523257974879,0.0169211892954,0.00248994778946,0.00151969853295,0.0025800416189,0.000515090963465,0.000255906644071
12,0.0863715373657,0.0153186554747,0.0036468621791,0.00517524357372,0.00152724121461,0.00233311381449,0.000462560404371,0.000325574222595,0.0013381219343
13,0.0269103719357,0.0142184681681,0.006665686767,0.00674583057602,0.00349101484172,0.00168262335236,,0.000391752983913,0.000363537768552
14,0.0148393161612,0.00440963636288,0.00536551032527,0.00248869224349,0.00242607000336,0.000971772341654,0.00134984826653,0.000228677377428,0.000689261140202
15,0.0791271595305,0.0440128119663,0.00583526365431,0.0171193983588,0.00240966930508,0.00143786799626,0.00246857712683,0.00117035903189,0.0011992431287
